PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
306540,40,"Transparent","Bricks",3065,"Brick 1X2 Without Pin","http://cache.lego.com/media/bricks/5/1/306540.jpg",106
6000740,16,"Transparent","Frames, Windows, Walls And Doors",94638,"Wallelement 1X2X2, Pc","http://cache.lego.com/media/bricks/5/1/6000740.jpg",27
3000840,40,"Transparent","Plates",30008,"Plate 1X1 - Tr.","http://cache.lego.com/media/bricks/5/1/3000840.jpg",98
4167842,50,"Transparent","Plates",6225,"Plate 1X2 - Tr.","http://cache.lego.com/media/bricks/5/1/4167842.jpg",115
235701,12,"White","Bricks",2357,"Brick Corner 1X2X2","http://cache.lego.com/media/bricks/5/1/235701.jpg",127
287701,16,"White","Bricks",2877,"Profile Brick 1X2","http://cache.lego.com/media/bricks/5/1/287701.jpg",89
300101,24,"White","Bricks",3001,"Brick 2X4","http://cache.lego.com/media/bricks/5/1/300101.jpg",395
300201,16,"White","Bricks",3002,"Brick 2X3","http://cache.lego.com/media/bricks/5/1/300201.jpg",284
300301,36,"White","Bricks",3003,"Brick 2X2","http://cache.lego.com/media/bricks/5/1/300301.jpg",430
300401,40,"White","Bricks",3004,"Brick 1X2","http://cache.lego.com/media/bricks/5/1/300401.jpg",622
300501,40,"White","Bricks",3005,"Brick 1X1","http://cache.lego.com/media/bricks/5/1/300501.jpg",418
300801,8,"White","Bricks",3008,"Brick 1X8","http://cache.lego.com/media/bricks/5/1/300801.jpg",213
300901,18,"White","Bricks",3009,"Brick 1X6","http://cache.lego.com/media/bricks/5/1/300901.jpg",360
301001,36,"White","Bricks",3010,"Brick 1X4","http://cache.lego.com/media/bricks/5/1/301001.jpg",483
362201,36,"White","Bricks",3622,"Brick 1X3","http://cache.lego.com/media/bricks/5/1/362201.jpg",303
4181142,16,"White","Bricks",44237,"Brick 2X6","http://cache.lego.com/media/bricks/5/1/4181142.jpg",150
365901,6,"White","Bricks With Bows",3659,"Brick W. Bow 1X4","http://cache.lego.com/media/bricks/5/1/365901.jpg",55
609101,12,"White","Bricks With Bows",6091,"Brick W. Arch 1X1X1 1/3","http://cache.lego.com/media/bricks/5/1/609101.jpg",100
4249112,12,"White","Bricks With Bows",50950,"Brick W/Bow 1/3","http://cache.lego.com/media/bricks/5/1/4249112.jpg",103
303701,12,"White","Bricks With Slope",3037,"Roof Tile 2X4/45°","http://cache.lego.com/media/bricks/5/1/303701.jpg",65
303901,12,"White","Bricks With Slope",3039,"Roof Tile 2X2/45°","http://cache.lego.com/media/bricks/5/1/303901.jpg",199
329701,12,"White","Bricks With Slope",3297,"Roof Tile 3X4/25°","http://cache.lego.com/media/bricks/5/1/329701.jpg",33
329801,12,"White","Bricks With Slope",3298,"Roof Tile 2X3/25°","http://cache.lego.com/media/bricks/5/1/329801.jpg",87
366001,12,"White","Bricks With Slope",3660,"Roof Tile 2X2/45° Inv.","http://cache.lego.com/media/bricks/5/1/366001.jpg",179
366501,12,"White","Bricks With Slope",3665,"Roof Tile 1X2 Inv.","http://cache.lego.com/media/bricks/5/1/366501.jpg",204
428601,10,"White","Bricks With Slope",4286,"Roof Tile 1X3/25°","http://cache.lego.com/media/bricks/5/1/428601.jpg",136
428701,10,"White","Bricks With Slope",4287,"Roof Tile 1X3/25° Inv.","http://cache.lego.com/media/bricks/5/1/428701.jpg",94
446001,10,"White","Bricks With Slope",4460,"Roof Tile 1X2X3/73°","http://cache.lego.com/media/bricks/5/1/446001.jpg",56
4121932,12,"White","Bricks With Slope",3040,"Roof Tile 1X2/45°","http://cache.lego.com/media/bricks/5/1/4121932.jpg",222
4143000,8,"White","Bricks With Slope",30363,"Roof Tile 2X4X1, 18°","http://cache.lego.com/media/bricks/5/1/4143000.jpg",59
4233370,8,"White","Bricks With Slope",3045,"Corner Brick 2X2/45° Outside","http://cache.lego.com/media/bricks/5/1/4233370.jpg",22
4500469,10,"White","Bricks With Slope",3747,"Roof Tile 2X3/25° Inv.","http://cache.lego.com/media/bricks/5/1/4500469.jpg",73
4504369,18,"White","Bricks With Slope",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/1/4504369.jpg",242
4515370,10,"White","Bricks With Slope",60481,"Roof Tile 2X1X2","http://cache.lego.com/media/bricks/5/1/4515370.jpg",32
407001,16,"White","Bricks, Special",4070,"Angular Brick 1X1","http://cache.lego.com/media/bricks/5/1/407001.jpg",195
4111971,12,"White","Bricks, Special",4733,"Brick 1X1 W. 4 Knobs","http://cache.lego.com/media/bricks/5/1/4111971.jpg",50
