PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
4542573,4,"Black","Beams",64871,"Technic 15M Beam","http://cache.lego.com/media/bricks/5/1/4542573.jpg",50
4645732,4,"Black","Beams",64289,"Technic 9M Beam","http://cache.lego.com/media/bricks/5/1/4645732.jpg",44
4610948,2,"Black","Beams W/ Ball And Ball Cup",93571,"Ball Cup 3M Ø10.2","http://cache.lego.com/media/bricks/5/1/4610948.jpg",60
4562148,1,"Black","Beams, Special",85940,"Double Ø4.85 Hole W.Ø3.2 Shaft","http://cache.lego.com/media/bricks/5/1/4562148.jpg",40
300126,3,"Black","Bricks",3001,"Brick 2X4","http://cache.lego.com/media/bricks/5/1/300126.jpg",453
370226,5,"Black","Bricks And Beams, Special Ø 4,85",3702,"Technic Brick 1X8","http://cache.lego.com/media/bricks/5/1/370226.jpg",153
4107558,2,"Black","Bricks And Beams, Special Ø 4,85",32018,"Technic Brick 1X14, Ø4,9","http://cache.lego.com/media/bricks/5/1/4107558.jpg",81
4144025,3,"Black","Bricks And Beams, Special Ø 4,85",32531,"4X6 Brick, Ø 4,85","http://cache.lego.com/media/bricks/5/1/4144025.jpg",39
4251161,8,"Black","Bricks With Bows",50950,"Brick W/Bow 1/3","http://cache.lego.com/media/bricks/5/1/4251161.jpg",98
4544499,2,"Black","Bricks With Bows",41766,"Brick 2X8X2 W/Bow","http://cache.lego.com/media/bricks/5/1/4544499.jpg",3
329826,2,"Black","Bricks With Slope",3298,"Roof Tile 2X3/25°","http://cache.lego.com/media/bricks/5/1/329826.jpg",143
366026,2,"Black","Bricks With Slope",3660,"Roof Tile 2X2/45° Inv.","http://cache.lego.com/media/bricks/5/1/366026.jpg",260
4504382,8,"Black","Bricks With Slope",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/1/4504382.jpg",233
4180469,2,"Black","Bricks With Special Bows",43713,"Brick 4 X 6 W/Bow, Inverted","http://cache.lego.com/media/bricks/5/1/4180469.jpg",35
265326,2,"Black","Bricks, Special",2653,"Sliding Piece 1X4","http://cache.lego.com/media/bricks/5/1/265326.jpg",47
473326,1,"Black","Bricks, Special",4733,"Brick 1X1 W. 4 Knobs","http://cache.lego.com/media/bricks/5/1/473326.jpg",82
4100423,1,"Black","Bricks, Special",6087,"Bottom 2X5X2 1/3","http://cache.lego.com/media/bricks/5/1/4100423.jpg",27
4143243,2,"Black","Bricks, Special Circles And Angles",3943,"Rocket Step 4X4X2","http://cache.lego.com/media/bricks/5/1/4143243.jpg",23
4529236,1,"Black","Bricks, Special Circles And Angles",59900,"Nose Cone Small 1X1","http://cache.lego.com/media/bricks/5/1/4529236.jpg",128
370526,2,"Black","Connectors",3705,"Cross Axle 4M","http://cache.lego.com/media/bricks/5/1/370526.jpg",758
370626,1,"Black","Connectors",3706,"Cross Axle 6M","http://cache.lego.com/media/bricks/5/1/370626.jpg",633
4107081,5,"Black","Connectors",32039,"Catch W. Cross Hole","http://cache.lego.com/media/bricks/5/1/4107081.jpg",273
4107085,2,"Black","Connectors",32013,"Angle Element, 0 Degrees [1]","http://cache.lego.com/media/bricks/5/1/4107085.jpg",284
4107783,4,"Black","Connectors",32034,"Angle Element, 180 Degrees [2]","http://cache.lego.com/media/bricks/5/1/4107783.jpg",179
4119589,6,"Black","Connectors",32138,"Module Bush","http://cache.lego.com/media/bricks/5/1/4119589.jpg",173
4121715,12,"Black","Connectors",2780,"Connector Peg W. Friction","http://cache.lego.com/media/bricks/5/1/4121715.jpg",1232
4143372,2,"Black","Connectors",30553,"Fric/Fork W. Cross Hole","http://cache.lego.com/media/bricks/5/1/4143372.jpg",101
4526982,12,"Black","Connectors",62462,"Tube W/Double Ø4.85","http://cache.lego.com/media/bricks/5/1/4526982.jpg",121
