PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
300526,1,"Black","Bricks",3005,"Brick 1X1","http://cache.lego.com/media/bricks/5/1/300526.jpg",361
362226,1,"Black","Bricks",3622,"Brick 1X3","http://cache.lego.com/media/bricks/5/1/362226.jpg",244
4121966,4,"Black","Bricks With Slope",3040,"Roof Tile 1X2/45°","http://cache.lego.com/media/bricks/5/1/4121966.jpg",261
4504382,1,"Black","Bricks With Slope",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/1/4504382.jpg",233
4253815,2,"Black","Bricks, Special",52107,"Brick 1X2 W. Four Knobs","http://cache.lego.com/media/bricks/5/1/4253815.jpg",113
4121715,4,"Black","Connectors",2780,"Connector Peg W. Friction","http://cache.lego.com/media/bricks/5/1/4121715.jpg",1232
243126,11,"Black","Plates",2431,"Flat Tile 1X4","http://cache.lego.com/media/bricks/5/1/243126.jpg",335
244526,2,"Black","Plates",2445,"Plate 2X12","http://cache.lego.com/media/bricks/5/1/244526.jpg",157
302026,7,"Black","Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/302026.jpg",625
302226,7,"Black","Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/302226.jpg",616
302326,6,"Black","Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/302326.jpg",714
303026,1,"Black","Plates",3030,"Plate 4X10","http://cache.lego.com/media/bricks/5/1/303026.jpg",101
307026,2,"Black","Plates",3070,"Flat Tile 1X1","http://cache.lego.com/media/bricks/5/1/307026.jpg",138
362326,5,"Black","Plates",3623,"Plate 1X3","http://cache.lego.com/media/bricks/5/1/362326.jpg",340
366626,2,"Black","Plates",3666,"Plate 1X6","http://cache.lego.com/media/bricks/5/1/366626.jpg",428
379526,2,"Black","Plates",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/1/379526.jpg",509
447726,2,"Black","Plates",4477,"Plate 1X10","http://cache.lego.com/media/bricks/5/1/447726.jpg",176
4274405,1,"Black","Plates, Special",2508,"Plate 1X2X4 W. Ball","http://cache.lego.com/media/bricks/5/1/4274405.jpg",43
4517925,10,"Black","Plates, Special",61252,"Plate 1X1 W/Holder Vertical","http://cache.lego.com/media/bricks/5/1/4517925.jpg",129
4516843,1,"Black","Tyres And Rims For Snap Ø3,2",59895,"Tyre D8, Sebs","http://cache.lego.com/media/bricks/5/1/4516843.jpg",93
4617848,2,"Black","Tyres And Rims For Snap Ø3,2",92409,"Tyre Ø17,6 X 6,24","http://cache.lego.com/media/bricks/5/1/4617848.jpg",31
4206482,1,"Bright Blue","Connectors",43093,"Conn.Bush W.Fric./Crossale","http://cache.lego.com/media/bricks/5/1/4206482.jpg",826
4514553,1,"Bright Blue","Connectors",6558,"Connector Peg W. Friction 3M","http://cache.lego.com/media/bricks/5/1/4514553.jpg",322
4216657,1,"Bright Red","Bricks, Special Circles And Angles",30367,"Final Brick 2X2","http://cache.lego.com/media/bricks/5/1/4216657.jpg",42
4142865,2,"Bright Red","Connectors",32062,"2M Cross Axle W. Groove","http://cache.lego.com/media/bricks/5/1/4142865.jpg",617
300124,2,"Bright Yellow","Bricks",3001,"Brick 2X4","http://cache.lego.com/media/bricks/5/1/300124.jpg",320
301024,2,"Bright Yellow","Bricks",3010,"Brick 1X4","http://cache.lego.com/media/bricks/5/1/301024.jpg",329
370024,2,"Bright Yellow","Bricks And Beams, Special Ø 4,85",3700,"Technic Brick 1X2, Ø4.9","http://cache.lego.com/media/bricks/5/1/370024.jpg",93
654124,1,"Bright Yellow","Bricks And Beams, Special Ø 4,85",6541,"Technic Brick 1X1","http://cache.lego.com/media/bricks/5/1/654124.jpg",49
303924,2,"Bright Yellow","Bricks With Slope",3039,"Roof Tile 2X2/45°","http://cache.lego.com/media/bricks/5/1/303924.jpg",162
329824,6,"Bright Yellow","Bricks With Slope",3298,"Roof Tile 2X3/25°","http://cache.lego.com/media/bricks/5/1/329824.jpg",49
366524,1,"Bright Yellow","Bricks With Slope",3665,"Roof Tile 1X2 Inv.","http://cache.lego.com/media/bricks/5/1/366524.jpg",123
374724,1,"Bright Yellow","Bricks With Slope",3747,"Roof Tile 2X3/25° Inv.","http://cache.lego.com/media/bricks/5/1/374724.jpg",62
4121965,4,"Bright Yellow","Bricks With Slope",3040,"Roof Tile 1X2/45°","http://cache.lego.com/media/bricks/5/1/4121965.jpg",154
4219911,4,"Bright Yellow","Bricks With Slope",3037,"Roof Tile 2X4/45°","http://cache.lego.com/media/bricks/5/1/4219911.jpg",32
4526936,1,"Bright Yellow","Bricks, Special Circles And Angles",6564,"Right Roof Tile 2X3","http://cache.lego.com/media/bricks/5/1/4526936.jpg",2
4527769,1,"Bright Yellow","Bricks, Special Circles And Angles",6565,"Left  Roof Tile 2X3","http://cache.lego.com/media/bricks/5/1/4527769.jpg",2
302224,3,"Bright Yellow","Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/302224.jpg",299
302324,2,"Bright Yellow","Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/302324.jpg",350
303424,2,"Bright Yellow","Plates",3034,"Plate 2X8","http://cache.lego.com/media/bricks/5/1/303424.jpg",80
303524,2,"Bright Yellow","Plates",3035,"Plate 4X8","http://cache.lego.com/media/bricks/5/1/303524.jpg",26
362324,1,"Bright Yellow","Plates",3623,"Plate 1X3","http://cache.lego.com/media/bricks/5/1/362324.jpg",118
366624,1,"Bright Yellow","Plates",3666,"Plate 1X6","http://cache.lego.com/media/bricks/5/1/366624.jpg",162
371024,2,"Bright Yellow","Plates",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/1/371024.jpg",279
379424,4,"Bright Yellow","Plates",3794,"Plate 1X2 W. 1 Knob","http://cache.lego.com/media/bricks/5/1/379424.jpg",142
4188313,1,"Bright Yellow","Plates, Special",3176,"Coupling Plate 2X2","http://cache.lego.com/media/bricks/5/1/4188313.jpg",46
4160868,2,"Bright Yellow","Plates, Special Circles And Angles",41769,"Right Plate 2X4 W/Angle","http://cache.lego.com/media/bricks/5/1/4160868.jpg",31
