PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
300826,2,"Black","Bricks",3008,"Brick 1X8","http://cache.lego.com/media/bricks/5/1/300826.jpg",144
300926,1,"Black","Bricks",3009,"Brick 1X6","http://cache.lego.com/media/bricks/5/1/300926.jpg",234
301026,4,"Black","Bricks",3010,"Brick 1X4","http://cache.lego.com/media/bricks/5/1/301026.jpg",406
303726,4,"Black","Bricks With Slope",3037,"Roof Tile 2X4/45°","http://cache.lego.com/media/bricks/5/1/303726.jpg",111
4504382,4,"Black","Bricks With Slope",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/1/4504382.jpg",233
4558954,9,"Black","Bricks, Special",87087,"Brick 1X1 W. 1 Knob","http://cache.lego.com/media/bricks/5/1/4558954.jpg",58
306226,5,"Black","Bricks, Special Circles And Angles",3062,"Round Brick 1X1","http://cache.lego.com/media/bricks/5/1/306226.jpg",273
4107085,3,"Black","Connectors",32013,"Angle Element, 0 Degrees [1]","http://cache.lego.com/media/bricks/5/1/4107085.jpg",284
4568949,1,"Black","Figure, Head Clothing",88287,"Scarf, Headgear","http://cache.lego.com/media/bricks/5/1/4568949.jpg",3
4177431,1,"Black","Functional Elements, Gear Wheels And Racks",32270,"Double Conical Wheel Z12 1M","http://cache.lego.com/media/bricks/5/1/4177431.jpg",159
4580096,1,"Black","Mini Figure",88605,"Mini Lower Part No. "149"","http://cache.lego.com/media/bricks/5/1/4580096.jpg",2
4580099,1,"Black","Mini Figure",88611,"Mini Lower Part Nr."150"","http://cache.lego.com/media/bricks/5/1/4580099.jpg",6
4644742,1,"Black","Mini Figure",76382,"Mini Upper Part No. 1561","http://cache.lego.com/media/bricks/5/1/4644742.jpg",2
302126,4,"Black","Plates",3021,"Plate 2X3","http://cache.lego.com/media/bricks/5/1/302126.jpg",474
307026,1,"Black","Plates",3070,"Flat Tile 1X1","http://cache.lego.com/media/bricks/5/1/307026.jpg",138
362326,1,"Black","Plates",3623,"Plate 1X3","http://cache.lego.com/media/bricks/5/1/362326.jpg",340
366626,2,"Black","Plates",3666,"Plate 1X6","http://cache.lego.com/media/bricks/5/1/366626.jpg",428
371026,3,"Black","Plates",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/1/371026.jpg",629
379426,3,"Black","Plates",3794,"Plate 1X2 W. 1 Knob","http://cache.lego.com/media/bricks/5/1/379426.jpg",352
4550017,2,"Black","Plates, Special",60897,"Plate 1X1 W. Holder","http://cache.lego.com/media/bricks/5/1/4550017.jpg",139
403226,2,"Black","Plates, Special Circles And Angles",4032,"Plate 2X2 Round","http://cache.lego.com/media/bricks/5/1/403226.jpg",302
4124171,1,"Black","Textiles",22231,"Black Cape","http://cache.lego.com/media/bricks/5/1/4124171.jpg",61
4159739,2,"Brick Yellow","Bricks",3002,"Brick 2X3","http://cache.lego.com/media/bricks/5/1/4159739.jpg",46
4205105,2,"Brick Yellow","Bricks And Beams, Special Ø 4,85",2458,"Brick 1X2 W. Horizontal Snap","http://cache.lego.com/media/bricks/5/1/4205105.jpg",25
4113233,4,"Brick Yellow","Plates",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/1/4113233.jpg",117
4113917,8,"Brick Yellow","Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/4113917.jpg",195
4113993,4,"Brick Yellow","Plates",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/1/4113993.jpg",99
4114324,2,"Brick Yellow","Plates",3460,"Plate 1X8","http://cache.lego.com/media/bricks/5/1/4114324.jpg",60
4118790,1,"Brick Yellow","Plates",3021,"Plate 2X3","http://cache.lego.com/media/bricks/5/1/4118790.jpg",114
4121921,2,"Brick Yellow","Plates",3623,"Plate 1X3","http://cache.lego.com/media/bricks/5/1/4121921.jpg",81
4124067,2,"Brick Yellow","Plates",3666,"Plate 1X6","http://cache.lego.com/media/bricks/5/1/4124067.jpg",84
4159553,6,"Brick Yellow","Plates",3024,"Plate 1X1","http://cache.lego.com/media/bricks/5/1/4159553.jpg",68
4526771,2,"Brick Yellow","Plates",2445,"Plate 2X12","http://cache.lego.com/media/bricks/5/1/4526771.jpg",2
4114052,2,"Bright Red","Animal And Accessories For Animals",30115,"Snake","http://cache.lego.com/media/bricks/5/1/4114052.jpg",43
4568952,1,"Dark Brown","Figure Accessories, Upper Body",88290,"Mini Sword Holder","http://cache.lego.com/media/bricks/5/1/4568952.jpg",6
4568934,1,"Dark Brown","Figure, Hair",88283,"Mini Wig No. 8","http://cache.lego.com/media/bricks/5/1/4568934.jpg",17
4581313,1,"Dark Brown","Figure, Hair",88286,"Mini Wig No. 9","http://cache.lego.com/media/bricks/5/1/4581313.jpg",16
4549898,3,"Dark Brown","Figure, Weapons",4497,"Spear","http://cache.lego.com/media/bricks/5/1/4549898.jpg",20
4521781,1,"Dark Brown","Food Stuff",33172,"Carrot","http://cache.lego.com/media/bricks/5/1/4521781.jpg",12
4529672,1,"Dark Brown","Mini Figure",73200,"Mini Lower Part","http://cache.lego.com/media/bricks/5/1/4529672.jpg",35
4580101,1,"Dark Brown","Mini Figure",76382,"Mini Upper Part No. 1558","http://cache.lego.com/media/bricks/5/1/4580101.jpg",5
4580118,1,"Dark Brown","Mini Figure",76382,"Mini Upper Part No. 1563","http://cache.lego.com/media/bricks/5/1/4580118.jpg",1
4495931,1,"Dark Stone Grey","Beams",32524,"Technic 7M Beam","http://cache.lego.com/media/bricks/5/1/4495931.jpg",55
4210690,2,"Dark Stone Grey","Bricks",2453,"Brick 1X1X5","http://cache.lego.com/media/bricks/5/1/4210690.jpg",30
4211060,6,"Dark Stone Grey","Bricks",3003,"Brick 2X2","http://cache.lego.com/media/bricks/5/1/4211060.jpg",166
4211075,6,"Dark Stone Grey","Bricks",2454,"Brick 1X2X5","http://cache.lego.com/media/bricks/5/1/4211075.jpg",48
4211085,4,"Dark Stone Grey","Bricks",3001,"Brick 2X4","http://cache.lego.com/media/bricks/5/1/4211085.jpg",147
4211088,9,"Dark Stone Grey","Bricks",3004,"Brick 1X2","http://cache.lego.com/media/bricks/5/1/4211088.jpg",213
4211095,2,"Dark Stone Grey","Bricks",30136,"Palisade Brick 1X2","http://cache.lego.com/media/bricks/5/1/4211095.jpg",73
4211098,7,"Dark Stone Grey","Bricks",3005,"Brick 1X1","http://cache.lego.com/media/bricks/5/1/4211098.jpg",144
4211099,2,"Dark Stone Grey","Bricks",3008,"Brick 1X8","http://cache.lego.com/media/bricks/5/1/4211099.jpg",80
4211100,3,"Dark Stone Grey","Bricks",3009,"Brick 1X6","http://cache.lego.com/media/bricks/5/1/4211100.jpg",119
4211104,3,"Dark Stone Grey","Bricks",3622,"Brick 1X3","http://cache.lego.com/media/bricks/5/1/4211104.jpg",109
4211105,9,"Dark Stone Grey","Bricks",3002,"Brick 2X3","http://cache.lego.com/media/bricks/5/1/4211105.jpg",91
4211109,10,"Dark Stone Grey","Bricks",2357,"Brick Corner 1X2X2","http://cache.lego.com/media/bricks/5/1/4211109.jpg",89
4268139,7,"Dark Stone Grey","Bricks",30137,"Palisade Brick 1X4","http://cache.lego.com/media/bricks/5/1/4268139.jpg",8
4210639,12,"Dark Stone Grey","Bricks And Beams, Special Ø 4,85",6541,"Technic Brick 1X1","http://cache.lego.com/media/bricks/5/1/4210639.jpg",76
4210762,1,"Dark Stone Grey","Bricks And Beams, Special Ø 4,85",32000,"Brick 1X2 M. 2 Holes Ø 4,87","http://cache.lego.com/media/bricks/5/1/4210762.jpg",103
4211111,4,"Dark Stone Grey","Bricks And Beams, Special Ø 4,85",3700,"Technic Brick 1X2, Ø4.9","http://cache.lego.com/media/bricks/5/1/4211111.jpg",149
4210797,1,"Dark Stone Grey","Bricks With Bows",6091,"Brick W. Arch 1X1X1 1/3","http://cache.lego.com/media/bricks/5/1/4210797.jpg",73
4246896,2,"Dark Stone Grey","Bricks With Bows",50950,"Brick W/Bow 1/3","http://cache.lego.com/media/bricks/5/1/4246896.jpg",70
4210646,6,"Dark Stone Grey","Bricks With Slope",3045,"Corner Brick 2X2/45° Outside","http://cache.lego.com/media/bricks/5/1/4210646.jpg",27
4211045,8,"Dark Stone Grey","Bricks With Slope",4286,"Roof Tile 1X3/25°","http://cache.lego.com/media/bricks/5/1/4211045.jpg",81
4211054,13,"Dark Stone Grey","Bricks With Slope",3039,"Roof Tile 2X2/45°","http://cache.lego.com/media/bricks/5/1/4211054.jpg",175
4211096,3,"Dark Stone Grey","Bricks With Slope",3665,"Roof Tile 1X2 Inv.","http://cache.lego.com/media/bricks/5/1/4211096.jpg",135
4211135,40,"Dark Stone Grey","Bricks With Slope",3040,"Roof Tile 1X2/45°","http://cache.lego.com/media/bricks/5/1/4211135.jpg",192
4504378,32,"Dark Stone Grey","Bricks With Slope",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/1/4504378.jpg",212
4513326,2,"Dark Stone Grey","Bricks, Special",54782,"Wall Element 2X4X6, Mountain","http://cache.lego.com/media/bricks/5/1/4513326.jpg",24
4211090,4,"Dark Stone Grey","Bricks, Special Circles And Angles",3062,"Round Brick 1X1","http://cache.lego.com/media/bricks/5/1/4211090.jpg",146
