PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
4121715,8,"Black","Connectors",2780,"Connector Peg W. Friction","http://cache.lego.com/media/bricks/5/1/4121715.jpg",1232
4289538,2,"Black","Connectors",48729,"Stick Ø 3.2 W. Holder","http://cache.lego.com/media/bricks/5/1/4289538.jpg",115
4568949,1,"Black","Figure, Head Clothing",88287,"Scarf, Headgear","http://cache.lego.com/media/bricks/5/1/4568949.jpg",3
9339,1,"Black","Mini Figure",73200,"Mini Body Lower Part Black","http://cache.lego.com/media/bricks/5/1/9339.jpg",599
4580096,1,"Black","Mini Figure",88605,"Mini Lower Part No. "149"","http://cache.lego.com/media/bricks/5/1/4580096.jpg",2
4580099,1,"Black","Mini Figure",88611,"Mini Lower Part Nr."150"","http://cache.lego.com/media/bricks/5/1/4580099.jpg",6
4644742,1,"Black","Mini Figure",76382,"Mini Upper Part No. 1561","http://cache.lego.com/media/bricks/5/1/4644742.jpg",2
242026,2,"Black","Plates",2420,"Corner Plate 1X2X2","http://cache.lego.com/media/bricks/5/1/242026.jpg",254
302126,1,"Black","Plates",3021,"Plate 2X3","http://cache.lego.com/media/bricks/5/1/302126.jpg",474
303226,4,"Black","Plates",3032,"Plate 4X6","http://cache.lego.com/media/bricks/5/1/303226.jpg",213
303526,2,"Black","Plates",3035,"Plate 4X8","http://cache.lego.com/media/bricks/5/1/303526.jpg",177
379526,4,"Black","Plates",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/1/379526.jpg",509
383926,2,"Black","Plates, Special",3839,"Mini Handle","http://cache.lego.com/media/bricks/5/1/383926.jpg",136
4144024,4,"Black","Plates, Special",32530,"T-Beam W. Plate 1X2 W. Tube","http://cache.lego.com/media/bricks/5/1/4144024.jpg",89
4282746,1,"Black","Plates, Special",2436,"Angle Plate 1X2/1X4","http://cache.lego.com/media/bricks/5/1/4282746.jpg",159
4550017,4,"Black","Plates, Special",60897,"Plate 1X1 W. Holder","http://cache.lego.com/media/bricks/5/1/4550017.jpg",139
241926,4,"Black","Plates, Special Circles And Angles",2419,"Corner Plate 3X6","http://cache.lego.com/media/bricks/5/1/241926.jpg",94
403226,7,"Black","Plates, Special Circles And Angles",4032,"Plate 2X2 Round","http://cache.lego.com/media/bricks/5/1/403226.jpg",302
4515350,1,"Black","Plates, Special Circles And Angles",60474,"Plate 4X4 Round W. Snap","http://cache.lego.com/media/bricks/5/1/4515350.jpg",52
4124171,1,"Black","Textiles",22231,"Black Cape","http://cache.lego.com/media/bricks/5/1/4124171.jpg",61
4277774,2,"Black","Transportation Means, Vehicles",50947,"Cover Plate W. Curve 1 X 4.5","http://cache.lego.com/media/bricks/5/1/4277774.jpg",13
615726,1,"Black","Wheel Base",6157,"Bearing Element 2X2 2/3","http://cache.lego.com/media/bricks/5/1/615726.jpg",246
4589490,1,"Brick Yellow","Animal And Accessories For Animals",91967,"Camel "No.2"","http://cache.lego.com/media/bricks/5/1/4589490.jpg",1
4109995,4,"Brick Yellow","Bricks",3004,"Brick 1X2","http://cache.lego.com/media/bricks/5/1/4109995.jpg",179
4112982,3,"Brick Yellow","Bricks",3009,"Brick 1X6","http://cache.lego.com/media/bricks/5/1/4112982.jpg",71
4113915,9,"Brick Yellow","Bricks",3005,"Brick 1X1","http://cache.lego.com/media/bricks/5/1/4113915.jpg",97
4113916,9,"Brick Yellow","Bricks",3010,"Brick 1X4","http://cache.lego.com/media/bricks/5/1/4113916.jpg",104
4114306,2,"Brick Yellow","Bricks",3003,"Brick 2X2","http://cache.lego.com/media/bricks/5/1/4114306.jpg",101
4114319,6,"Brick Yellow","Bricks",3001,"Brick 2X4","http://cache.lego.com/media/bricks/5/1/4114319.jpg",82
4159739,4,"Brick Yellow","Bricks",3002,"Brick 2X3","http://cache.lego.com/media/bricks/5/1/4159739.jpg",46
4162465,5,"Brick Yellow","Bricks",3622,"Brick 1X3","http://cache.lego.com/media/bricks/5/1/4162465.jpg",65
4166138,3,"Brick Yellow","Bricks",6111,"Brick 1X10","http://cache.lego.com/media/bricks/5/1/4166138.jpg",17
4181134,2,"Brick Yellow","Bricks",44237,"Brick 2X6","http://cache.lego.com/media/bricks/5/1/4181134.jpg",43
4205105,2,"Brick Yellow","Bricks And Beams, Special Ø 4,85",2458,"Brick 1X2 W. Horizontal Snap","http://cache.lego.com/media/bricks/5/1/4205105.jpg",25
4190213,2,"Brick Yellow","Bricks With Bows",6182,"Arch 1X4X2","http://cache.lego.com/media/bricks/5/1/4190213.jpg",15
4113233,5,"Brick Yellow","Plates",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/1/4113233.jpg",117
4113988,2,"Brick Yellow","Plates",3034,"Plate 2X8","http://cache.lego.com/media/bricks/5/1/4113988.jpg",73
4113993,6,"Brick Yellow","Plates",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/1/4113993.jpg",99
4114001,4,"Brick Yellow","Plates",3032,"Plate 4X6","http://cache.lego.com/media/bricks/5/1/4114001.jpg",75
4114084,2,"Brick Yellow","Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/4114084.jpg",133
4114309,2,"Brick Yellow","Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/4114309.jpg",130
4118790,6,"Brick Yellow","Plates",3021,"Plate 2X3","http://cache.lego.com/media/bricks/5/1/4118790.jpg",114
4124067,4,"Brick Yellow","Plates",3666,"Plate 1X6","http://cache.lego.com/media/bricks/5/1/4124067.jpg",84
4157277,2,"Brick Yellow","Plates",6636,"Flat Tile 1X6","http://cache.lego.com/media/bricks/5/1/4157277.jpg",49
4159553,8,"Brick Yellow","Plates",3024,"Plate 1X1","http://cache.lego.com/media/bricks/5/1/4159553.jpg",68
4249019,2,"Brick Yellow","Plates",3832,"Plate 2X10","http://cache.lego.com/media/bricks/5/1/4249019.jpg",30
4543856,1,"Brick Yellow","Plates",3027,"Plate 6X16","http://cache.lego.com/media/bricks/5/1/4543856.jpg",2
4278422,1,"Brick Yellow","Plates, Special Circles And Angles",2654,"Slide Shoe Round 2X2","http://cache.lego.com/media/bricks/5/1/4278422.jpg",57
4569474,2,"Brick Yellow","Plates, Special Circles And Angles",30503,"Corner Plate 45 Deg. 4X4","http://cache.lego.com/media/bricks/5/1/4569474.jpg",3
245823,4,"Bright Blue","Bricks And Beams, Special Ø 4,85",2458,"Brick 1X2 W. Horizontal Snap","http://cache.lego.com/media/bricks/5/1/245823.jpg",34
370123,2,"Bright Blue","Bricks And Beams, Special Ø 4,85",3701,"Technic Brick 1X4, Ø4,9","http://cache.lego.com/media/bricks/5/1/370123.jpg",37
4143005,4,"Bright Blue","Connectors",4274,"Connector Peg W. Knob","http://cache.lego.com/media/bricks/5/1/4143005.jpg",355
4568951,2,"Dark Brown","Crains And Scaffold",88289,"Catapult Arm 1X4","http://cache.lego.com/media/bricks/5/1/4568951.jpg",22
4538950,6,"Dark Brown","Figure Accessories In Hand",64644,"Stick Ø3.2 2Mm W/Knob And Tube","http://cache.lego.com/media/bricks/5/1/4538950.jpg",55
4568952,1,"Dark Brown","Figure Accessories, Upper Body",88290,"Mini Sword Holder","http://cache.lego.com/media/bricks/5/1/4568952.jpg",6
4568934,1,"Dark Brown","Figure, Hair",88283,"Mini Wig No. 8","http://cache.lego.com/media/bricks/5/1/4568934.jpg",17
4568738,2,"Dark Brown","Gates And Roofs",87601,"Gate 4X10 W. Knobs","http://cache.lego.com/media/bricks/5/1/4568738.jpg",1
4536677,2,"Dark Brown","Interior",2489,"Barrel 2X2","http://cache.lego.com/media/bricks/5/1/4536677.jpg",26
4529672,1,"Dark Brown","Mini Figure",73200,"Mini Lower Part","http://cache.lego.com/media/bricks/5/1/4529672.jpg",35
4580101,1,"Dark Brown","Mini Figure",76382,"Mini Upper Part No. 1558","http://cache.lego.com/media/bricks/5/1/4580101.jpg",5
4114348,10,"Dark Green","Plants",30176,"Bamboo Leaves 3X3","http://cache.lego.com/media/bricks/5/1/4114348.jpg",132
4267282,1,"Dark Stone Grey","Animal And Accessories For Animals",4491,"Horse, Saddle","http://cache.lego.com/media/bricks/5/1/4267282.jpg",19
4495931,2,"Dark Stone Grey","Beams",32524,"Technic 7M Beam","http://cache.lego.com/media/bricks/5/1/4495931.jpg",55
4211098,10,"Dark Stone Grey","Bricks",3005,"Brick 1X1","http://cache.lego.com/media/bricks/5/1/4211098.jpg",144
4210917,2,"Dark Stone Grey","Bricks And Beams, Special Ø 4,85",3894,"Technic Brick 1X6, Ø4,9","http://cache.lego.com/media/bricks/5/1/4210917.jpg",55
4211000,20,"Dark Stone Grey","Bricks With Slope",3660,"Roof Tile 2X2/45° Inv.","http://cache.lego.com/media/bricks/5/1/4211000.jpg",151
4504378,4,"Dark Stone Grey","Bricks With Slope",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/1/4504378.jpg",212
4506846,2,"Dark Stone Grey","Figure, Special",3848,"Mini Battle Axe","http://cache.lego.com/media/bricks/5/1/4506846.jpg",19
4578064,1,"Dark Stone Grey","Figure, Weapons",43887,"Scimitar","http://cache.lego.com/media/bricks/5/1/4578064.jpg",1
4210795,2,"Dark Stone Grey","Functional Elements",3831,"Hinge 1X2 Lower Part","http://cache.lego.com/media/bricks/5/1/4210795.jpg",27
4221591,2,"Dark Stone Grey","Functional Elements",3830,"Hinge 1X2 Upper Part","http://cache.lego.com/media/bricks/5/1/4221591.jpg",12
4580152,1,"Dark Stone Grey","Mini Figure",76382,"Mini Upper Part No. 1565","http://cache.lego.com/media/bricks/5/1/4580152.jpg",1
4580165,1,"Dark Stone Grey","Mini Figure",76382,"Mini Upper Part  No. 1583","http://cache.lego.com/media/bricks/5/1/4580165.jpg",2
4580170,2,"Dark Stone Grey","Mini Figure",76382,"Mini Upper Part No. 1584","http://cache.lego.com/media/bricks/5/1/4580170.jpg",1
4210635,2,"Dark Stone Grey","Plates",2420,"Corner Plate 1X2X2","http://cache.lego.com/media/bricks/5/1/4210635.jpg",121
4210678,1,"Dark Stone Grey","Plates",3832,"Plate 2X10","http://cache.lego.com/media/bricks/5/1/4210678.jpg",137
4210706,1,"Dark Stone Grey","Plates",3029,"Plate 4X12","http://cache.lego.com/media/bricks/5/1/4210706.jpg",59
4210794,2,"Dark Stone Grey","Plates",3036,"Plate 6X8","http://cache.lego.com/media/bricks/5/1/4210794.jpg",81
4210802,5,"Dark Stone Grey","Plates",41539,"Plate 8X8","http://cache.lego.com/media/bricks/5/1/4210802.jpg",58
4210998,2,"Dark Stone Grey","Plates",3460,"Plate 1X8","http://cache.lego.com/media/bricks/5/1/4210998.jpg",179
4211043,6,"Dark Stone Grey","Plates",3021,"Plate 2X3","http://cache.lego.com/media/bricks/5/1/4211043.jpg",301
