PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
370126,4,"Black","Bricks And Beams, Special Ø 4,85",3701,"Technic Brick 1X4, Ø4,9","http://cache.lego.com/media/bricks/5/1/370126.jpg",173
4162443,1,"Black","Bricks, Special",30414,"Brick 1X4 W. 4 Knobs","http://cache.lego.com/media/bricks/5/1/4162443.jpg",109
306226,3,"Black","Bricks, Special Circles And Angles",3062,"Round Brick 1X1","http://cache.lego.com/media/bricks/5/1/306226.jpg",273
370526,1,"Black","Connectors",3705,"Cross Axle 4M","http://cache.lego.com/media/bricks/5/1/370526.jpg",758
4121715,8,"Black","Connectors",2780,"Connector Peg W. Friction","http://cache.lego.com/media/bricks/5/1/4121715.jpg",1232
4556158,1,"Black","Plates, Special",60470,"Plate 1X2 W/Holder, Vertical","http://cache.lego.com/media/bricks/5/1/4556158.jpg",134
4112982,4,"Brick Yellow","Bricks",3009,"Brick 1X6","http://cache.lego.com/media/bricks/5/1/4112982.jpg",71
4113916,7,"Brick Yellow","Bricks",3010,"Brick 1X4","http://cache.lego.com/media/bricks/5/1/4113916.jpg",104
4113917,7,"Brick Yellow","Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/4113917.jpg",195
614323,6,"Bright Blue","Bricks, Special Circles And Angles",6143,"Brick Ø16 W. Cross","http://cache.lego.com/media/bricks/5/1/614323.jpg",39
4143005,2,"Bright Blue","Connectors",4274,"Connector Peg W. Knob","http://cache.lego.com/media/bricks/5/1/4143005.jpg",355
403223,6,"Bright Blue","Plates, Special Circles And Angles",4032,"Plate 2X2 Round","http://cache.lego.com/media/bricks/5/1/403223.jpg",69
235721,4,"Bright Red","Bricks",2357,"Brick Corner 1X2X2","http://cache.lego.com/media/bricks/5/1/235721.jpg",78
300121,1,"Bright Red","Bricks",3001,"Brick 2X4","http://cache.lego.com/media/bricks/5/1/300121.jpg",372
4507196,2,"Bright Red","Bricks, Special",30541,"Brick 1X2 W/Stub Horiz. End","http://cache.lego.com/media/bricks/5/1/4507196.jpg",6
4513987,2,"Bright Red","Bricks, Special",32064,"Brick 1X2 With Cross Hole","http://cache.lego.com/media/bricks/5/1/4513987.jpg",33
368021,3,"Bright Red","Functional Elements",3680,"Turn Plate 2X2, Lower Part","http://cache.lego.com/media/bricks/5/1/368021.jpg",25
613421,1,"Bright Red","Functional Elements",6134,"Plate 2X2 (Rocking)","http://cache.lego.com/media/bricks/5/1/613421.jpg",86
307021,3,"Bright Red","Plates",3070,"Flat Tile 1X1","http://cache.lego.com/media/bricks/5/1/307021.jpg",109
373821,2,"Bright Red","Plates, Special",3738,"Plate 2X8 W. Holes","http://cache.lego.com/media/bricks/5/1/373821.jpg",19
4226876,1,"Bright Red","Plates, Special",48336,"Plate 1X2 W. Stick 3.18","http://cache.lego.com/media/bricks/5/1/4226876.jpg",38
4218728,2,"Bright Yellow","Bricks, Special",30387,"Brick 1X4 Fric/Stub/Fork Vert.","http://cache.lego.com/media/bricks/5/1/4218728.jpg",23
4504378,4,"Dark Stone Grey","Bricks With Slope",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/1/4504378.jpg",212
4211086,2,"Dark Stone Grey","Connectors",6587,"Crossaxle 3M With Knob","http://cache.lego.com/media/bricks/5/1/4211086.jpg",284
4210676,2,"Dark Stone Grey","Figure Accessories In Hand",6190,"Telephone Reciver","http://cache.lego.com/media/bricks/5/1/4210676.jpg",27
4211051,4,"Dark Stone Grey","Figure Accessories In Hand",30162,"Prismatic Binoculars","http://cache.lego.com/media/bricks/5/1/4211051.jpg",174
4211066,1,"Dark Stone Grey","Functional Elements",3937,"Rocker Bearing 1X2","http://cache.lego.com/media/bricks/5/1/4211066.jpg",125
4271344,1,"Dark Stone Grey","Functional Elements",73983,"Hinge Plate 1X2","http://cache.lego.com/media/bricks/5/1/4271344.jpg",43
4211110,6,"Dark Stone Grey","Modelling Elements",3940,"Undercarriage 2X2X2","http://cache.lego.com/media/bricks/5/1/4211110.jpg",26
4210631,9,"Dark Stone Grey","Plates",2412,"Radiator Grille 1X2","http://cache.lego.com/media/bricks/5/1/4210631.jpg",356
4210997,8,"Dark Stone Grey","Plates",3034,"Plate 2X8","http://cache.lego.com/media/bricks/5/1/4210997.jpg",196
4211052,1,"Dark Stone Grey","Plates",3069,"Flat Tile 1X2","http://cache.lego.com/media/bricks/5/1/4211052.jpg",189
