PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
4173668,6,"Black","Beams, Special",6536,"Cross Block 90°","http://cache.lego.com/media/bricks/5/1/4173668.jpg",224
370026,4,"Black","Bricks And Beams, Special Ø 4,85",3700,"Technic Brick 1X2, Ø4.9","http://cache.lego.com/media/bricks/5/1/370026.jpg",249
609126,2,"Black","Bricks With Bows",6091,"Brick W. Arch 1X1X1 1/3","http://cache.lego.com/media/bricks/5/1/609126.jpg",110
4162443,1,"Black","Bricks, Special",30414,"Brick 1X4 W. 4 Knobs","http://cache.lego.com/media/bricks/5/1/4162443.jpg",109
306226,2,"Black","Bricks, Special Circles And Angles",3062,"Round Brick 1X1","http://cache.lego.com/media/bricks/5/1/306226.jpg",273
370526,5,"Black","Connectors",3705,"Cross Axle 4M","http://cache.lego.com/media/bricks/5/1/370526.jpg",758
370726,1,"Black","Connectors",3707,"Cross Axle 8M","http://cache.lego.com/media/bricks/5/1/370726.jpg",425
373726,2,"Black","Connectors",3737,"Cross Axle 10M","http://cache.lego.com/media/bricks/5/1/373726.jpg",372
4119589,2,"Black","Connectors",32138,"Module Bush","http://cache.lego.com/media/bricks/5/1/4119589.jpg",173
4121715,6,"Black","Connectors",2780,"Connector Peg W. Friction","http://cache.lego.com/media/bricks/5/1/4121715.jpg",1232
4140801,14,"Black","Connectors",32054,"2M Fric. Snap W/Cross Hole","http://cache.lego.com/media/bricks/5/1/4140801.jpg",255
4184169,3,"Black","Connectors",6628,"Ball With Friction Snap","http://cache.lego.com/media/bricks/5/1/4184169.jpg",211
452226,2,"Black","Figure Accessories In Hand",4522,"Hammer","http://cache.lego.com/media/bricks/5/1/452226.jpg",92
4498713,2,"Black","Figure, Weapons",58247,"Blaster Medium","http://cache.lego.com/media/bricks/5/1/4498713.jpg",105
393726,6,"Black","Functional Elements",3937,"Rocker Bearing 1X2","http://cache.lego.com/media/bricks/5/1/393726.jpg",164
4107136,2,"Black","Half Beams",32006,"Technic Lever 4M","http://cache.lego.com/media/bricks/5/1/4107136.jpg",94
4162857,2,"Black","Half Beams, Special",41678,"Technic Cross Block/Fork 2X2","http://cache.lego.com/media/bricks/5/1/4162857.jpg",92
244526,2,"Black","Plates",2445,"Plate 2X12","http://cache.lego.com/media/bricks/5/1/244526.jpg",157
302026,1,"Black","Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/302026.jpg",625
302126,2,"Black","Plates",3021,"Plate 2X3","http://cache.lego.com/media/bricks/5/1/302126.jpg",474
4183043,2,"Black","Plates, Special",44301,"Plate 1X2 W/Stub Vertical/End","http://cache.lego.com/media/bricks/5/1/4183043.jpg",72
4258354,2,"Black","Plates, Special",2460,"Plate 2X2 W. Vertical Snap","http://cache.lego.com/media/bricks/5/1/4258354.jpg",59
4282746,5,"Black","Plates, Special",2436,"Angle Plate 1X2/1X4","http://cache.lego.com/media/bricks/5/1/4282746.jpg",159
614126,6,"Black","Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/614126.jpg",486
4180087,2,"Black","Plates, Special Circles And Angles",43898,"Parabolic Reflector Ø24X6,4","http://cache.lego.com/media/bricks/5/1/4180087.jpg",38
4140303,4,"Black","Signs And Flags",30374,"Light Sword - Blade","http://cache.lego.com/media/bricks/5/1/4140303.jpg",166
4186017,2,"Brick Yellow","Connectors",6562,"Connector Peg/Cross Axle","http://cache.lego.com/media/bricks/5/1/4186017.jpg",300
4509376,2,"Bright Blue","Beams",32523,"Technic 3M Beam","http://cache.lego.com/media/bricks/5/1/4509376.jpg",16
4143005,16,"Bright Blue","Connectors",4274,"Connector Peg W. Knob","http://cache.lego.com/media/bricks/5/1/4143005.jpg",355
4206482,10,"Bright Blue","Connectors",43093,"Conn.Bush W.Fric./Crossale","http://cache.lego.com/media/bricks/5/1/4206482.jpg",826
4514553,12,"Bright Blue","Connectors",6558,"Connector Peg W. Friction 3M","http://cache.lego.com/media/bricks/5/1/4514553.jpg",322
4195007,6,"Bright Blue","Functional Elements",6134,"Plate 2X2 (Rocking)","http://cache.lego.com/media/bricks/5/1/4195007.jpg",25
4107829,4,"Bright Blue","Half Beams",6632,"Technic Lever 3M","http://cache.lego.com/media/bricks/5/1/4107829.jpg",29
4528725,2,"Bright Blue","Half Beams",32249,"Halfbeam Curve 3X3","http://cache.lego.com/media/bricks/5/1/4528725.jpg",3
407923,3,"Bright Blue","Interior",4079,"Seat 2X2X2","http://cache.lego.com/media/bricks/5/1/407923.jpg",99
4183052,2,"Bright Blue","Plates, Special",44302,"Plate 1X2 W/Fork/Vertical/End","http://cache.lego.com/media/bricks/5/1/4183052.jpg",8
4142865,2,"Bright Red","Connectors",32062,"2M Cross Axle W. Groove","http://cache.lego.com/media/bricks/5/1/4142865.jpg",617
306224,4,"Bright Yellow","Bricks, Special Circles And Angles",3062,"Round Brick 1X1","http://cache.lego.com/media/bricks/5/1/306224.jpg",175
4239601,4,"Bright Yellow","Connectors",32123,"1/2 Bush","http://cache.lego.com/media/bricks/5/1/4239601.jpg",200
302324,2,"Bright Yellow","Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/302324.jpg",350
306824,2,"Bright Yellow","Plates",3068,"Flat Tile 2X2","http://cache.lego.com/media/bricks/5/1/306824.jpg",114
379524,5,"Bright Yellow","Plates",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/1/379524.jpg",171
403224,3,"Bright Yellow","Plates, Special Circles And Angles",4032,"Plate 2X2 Round","http://cache.lego.com/media/bricks/5/1/403224.jpg",87
4119474,2,"Bright Yellow","Transportation Means, Vehicles",2853,"Plastic Motor, Crank/Cross","http://cache.lego.com/media/bricks/5/1/4119474.jpg",22
4212454,12,"Bright Yellowish Green","Bricks, Special Circles And Angles",3062,"Round Brick 1X1","http://cache.lego.com/media/bricks/5/1/4212454.jpg",32
4548731,1,"Cool Silver, Drum Lacq","Figure, Weapons",86132,"Light Sword Stock, Drum Lac.","http://cache.lego.com/media/bricks/5/1/4548731.jpg",59
4210667,1,"Dark Stone Grey","Beams",32140,"Technic Ang. Beam 4X2 90 Deg","http://cache.lego.com/media/bricks/5/1/4210667.jpg",46
4211137,4,"Dark Stone Grey","Bricks And Beams, Special Ø 4,85",32018,"Technic Brick 1X14, Ø4,9","http://cache.lego.com/media/bricks/5/1/4211137.jpg",56
4213607,2,"Dark Stone Grey","Bricks And Beams, Special Ø 4,85",3701,"Technic Brick 1X4, Ø4,9","http://cache.lego.com/media/bricks/5/1/4213607.jpg",79
4504378,4,"Dark Stone Grey","Bricks With Slope",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/1/4504378.jpg",212
4211050,2,"Dark Stone Grey","Connectors",32002,"1 1/2 M Connecting Bush","http://cache.lego.com/media/bricks/5/1/4211050.jpg",233
4508553,1,"Dark Stone Grey","Connectors",59426,"Cross Axle 5,5  With Stop 1M.","http://cache.lego.com/media/bricks/5/1/4508553.jpg",239
4540386,4,"Dark Stone Grey","Modelling Elements",61409,"Roof Tile W. Lattice 1X2X2/3","http://cache.lego.com/media/bricks/5/1/4540386.jpg",167
4210631,10,"Dark Stone Grey","Plates",2412,"Radiator Grille 1X2","http://cache.lego.com/media/bricks/5/1/4210631.jpg",356
4257526,2,"Dark Stone Grey","Plates",4477,"Plate 1X10","http://cache.lego.com/media/bricks/5/1/4257526.jpg",89
4227517,1,"Dark Stone Grey","Plates, Special",30350,"Plate 2X3 W. Holder","http://cache.lego.com/media/bricks/5/1/4227517.jpg",54
4579354,2,"Dark Stone Grey","Plates, Special",61252,"Plate 1X1 W/Holder Vertical","http://cache.lego.com/media/bricks/5/1/4579354.jpg",71
4278274,3,"Dark Stone Grey","Plates, Special Circles And Angles",2654,"Slide Shoe Round 2X2","http://cache.lego.com/media/bricks/5/1/4278274.jpg",101
4528085,2,"Light Nougat","Mini Figure Head",63154,"Mini Head No. 525","http://cache.lego.com/media/bricks/5/1/4528085.jpg",31
4211668,4,"Medium Stone Grey","Beams",32348,"Technic Angular Beam 4X4","http://cache.lego.com/media/bricks/5/1/4211668.jpg",20
4211349,2,"Medium Stone Grey","Bricks",2357,"Brick Corner 1X2X2","http://cache.lego.com/media/bricks/5/1/4211349.jpg",82
4211387,3,"Medium Stone Grey","Bricks",3003,"Brick 2X2","http://cache.lego.com/media/bricks/5/1/4211387.jpg",177
4211388,1,"Medium Stone Grey","Bricks",3004,"Brick 1X2","http://cache.lego.com/media/bricks/5/1/4211388.jpg",269
4211394,4,"Medium Stone Grey","Bricks",3010,"Brick 1X4","http://cache.lego.com/media/bricks/5/1/4211394.jpg",171
4211522,4,"Medium Stone Grey","Bricks",6112,"Brick 1X12","http://cache.lego.com/media/bricks/5/1/4211522.jpg",45
4211442,4,"Medium Stone Grey","Bricks And Beams, Special Ø 4,85",3702,"Technic Brick 1X8","http://cache.lego.com/media/bricks/5/1/4211442.jpg",73
4211541,4,"Medium Stone Grey","Bricks And Beams, Special Ø 4,85",32000,"Brick 1X2 M. 2 Holes Ø 4,87","http://cache.lego.com/media/bricks/5/1/4211541.jpg",106
4597901,8,"Medium Stone Grey","Bricks With Bows",88930,"Plate W. Bow 2X4X2/3","http://cache.lego.com/media/bricks/5/1/4597901.jpg",11
4618874,2,"Medium Stone Grey","Bricks With Bows",92950,"Brick 1X6 W/Inside Bow","http://cache.lego.com/media/bricks/5/1/4618874.jpg",20
4211436,6,"Medium Stone Grey","Bricks With Slope",3660,"Roof Tile 2X2/45° Inv.","http://cache.lego.com/media/bricks/5/1/4211436.jpg",147
4211437,6,"Medium Stone Grey","Bricks With Slope",3665,"Roof Tile 1X2 Inv.","http://cache.lego.com/media/bricks/5/1/4211437.jpg",118
4211489,4,"Medium Stone Grey","Bricks With Slope",4287,"Roof Tile 1X3/25° Inv.","http://cache.lego.com/media/bricks/5/1/4211489.jpg",51
4211570,4,"Medium Stone Grey","Bricks With Slope",3747,"Roof Tile 2X3/25° Inv.","http://cache.lego.com/media/bricks/5/1/4211570.jpg",75
4211614,4,"Medium Stone Grey","Bricks With Slope",3040,"Roof Tile 1X2/45°","http://cache.lego.com/media/bricks/5/1/4211614.jpg",137
4285771,1,"Medium Stone Grey","Bricks, Special Circles And Angles",50373,"Brick 4X4/18°","http://cache.lego.com/media/bricks/5/1/4285771.jpg",7
4211375,1,"Medium Stone Grey","Connectors",2736,"Ball W. Cross Axle","http://cache.lego.com/media/bricks/5/1/4211375.jpg",109
4211815,2,"Medium Stone Grey","Connectors",4519,"Cross Axle 3M","http://cache.lego.com/media/bricks/5/1/4211815.jpg",598
4211881,6,"Medium Stone Grey","Functional Elements",6134,"Plate 2X2 (Rocking)","http://cache.lego.com/media/bricks/5/1/4211881.jpg",110
4211353,8,"Medium Stone Grey","Plates",2420,"Corner Plate 1X2X2","http://cache.lego.com/media/bricks/5/1/4211353.jpg",108
4211395,12,"Medium Stone Grey","Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/4211395.jpg",339
4211396,8,"Medium Stone Grey","Plates",3021,"Plate 2X3","http://cache.lego.com/media/bricks/5/1/4211396.jpg",283
4211398,8,"Medium Stone Grey","Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/4211398.jpg",393
4211402,1,"Medium Stone Grey","Plates",3030,"Plate 4X10","http://cache.lego.com/media/bricks/5/1/4211402.jpg",35
4211404,1,"Medium Stone Grey","Plates",3032,"Plate 4X6","http://cache.lego.com/media/bricks/5/1/4211404.jpg",105
4211407,6,"Medium Stone Grey","Plates",3035,"Plate 4X8","http://cache.lego.com/media/bricks/5/1/4211407.jpg",94
4211408,3,"Medium Stone Grey","Plates",3036,"Plate 6X8","http://cache.lego.com/media/bricks/5/1/4211408.jpg",57
4211414,4,"Medium Stone Grey","Plates",3069,"Flat Tile 1X2","http://cache.lego.com/media/bricks/5/1/4211414.jpg",185
4211445,4,"Medium Stone Grey","Plates",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/1/4211445.jpg",313
4211452,10,"Medium Stone Grey","Plates",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/1/4211452.jpg",234
4211462,4,"Medium Stone Grey","Plates",3832,"Plate 2X10","http://cache.lego.com/media/bricks/5/1/4211462.jpg",128
4211549,4,"Medium Stone Grey","Plates",6636,"Flat Tile 1X6","http://cache.lego.com/media/bricks/5/1/4211549.jpg",170
4211837,1,"Medium Stone Grey","Plates",6179,"Plate 4X4 W. 4 Knobs","http://cache.lego.com/media/bricks/5/1/4211837.jpg",41
4211838,4,"Medium Stone Grey","Plates",6180,"Plate 4X6 W. 12 Knobs","http://cache.lego.com/media/bricks/5/1/4211838.jpg",28
4243797,4,"Medium Stone Grey","Plates",3031,"Plate 4X4","http://cache.lego.com/media/bricks/5/1/4243797.jpg",103
4211498,2,"Medium Stone Grey","Plates, Special",4510,"Plate 1X8 With Rail","http://cache.lego.com/media/bricks/5/1/4211498.jpg",41
4277927,4,"Medium Stone Grey","Plates, Special",44728,"Angle Plate 1X2 / 2X2","http://cache.lego.com/media/bricks/5/1/4277927.jpg",69
4535738,4,"Medium Stone Grey","Plates, Special",63868,"Plate 2X1 W/Holder,Vertical","http://cache.lego.com/media/bricks/5/1/4535738.jpg",78
4211361,2,"Medium Stone Grey","Plates, Special Circles And Angles",2450,"Corner Plate 45 Deg. 3X3","http://cache.lego.com/media/bricks/5/1/4211361.jpg",32
4211732,1,"Medium Stone Grey","Plates, Special Circles And Angles",41769,"Right Plate 2X4 W/Angle","http://cache.lego.com/media/bricks/5/1/4211732.jpg",42
4211735,1,"Medium Stone Grey","Plates, Special Circles And Angles",41770,"Left Plate 2X4 W/Angle","http://cache.lego.com/media/bricks/5/1/4211735.jpg",43
4211791,2,"Medium Stone Grey","Plates, Special Circles And Angles",43722,"Right Plate 2X3 W/Angle","http://cache.lego.com/media/bricks/5/1/4211791.jpg",61
4211794,2,"Medium Stone Grey","Plates, Special Circles And Angles",43723,"Left Plate 2X3 W/Angle","http://cache.lego.com/media/bricks/5/1/4211794.jpg",63
4258273,1,"Medium Stone Grey","Plates, Special Circles And Angles",50304,"Right Plate 3X8 W/Angle","http://cache.lego.com/media/bricks/5/1/4258273.jpg",31
4258275,1,"Medium Stone Grey","Plates, Special Circles And Angles",50305,"Left Plate 3X8 W/Angle","http://cache.lego.com/media/bricks/5/1/4258275.jpg",30
4282786,1,"Medium Stone Grey","Plates, Special Circles And Angles",54383,"Right Plate 3X6 W. Angle","http://cache.lego.com/media/bricks/5/1/4282786.jpg",45
4282789,1,"Medium Stone Grey","Plates, Special Circles And Angles",54384,"Left Plate 3X6 W Angle","http://cache.lego.com/media/bricks/5/1/4282789.jpg",47
4594243,1,"Medium Stone Grey","Plates, Special Circles And Angles",90194,"Plate 3X4 W/Angles","http://cache.lego.com/media/bricks/5/1/4594243.jpg",21
