PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
4142135,2,"Black","Beams",32316,"Technic 5M Beam","http://cache.lego.com/media/bricks/5/1/4142135.jpg",165
4495935,2,"Black","Beams",32524,"Technic 7M Beam","http://cache.lego.com/media/bricks/5/1/4495935.jpg",102
4522933,4,"Black","Beams",41239,"Technic 13M Beam","http://cache.lego.com/media/bricks/5/1/4522933.jpg",52
4610948,1,"Black","Beams W/ Ball And Ball Cup",93571,"Ball Cup 3M Ø10.2","http://cache.lego.com/media/bricks/5/1/4610948.jpg",60
4515185,3,"Black","Beams, Special",60483,"Beam 1X2 W/Cross And Hole","http://cache.lego.com/media/bricks/5/1/4515185.jpg",14
287726,6,"Black","Bricks",2877,"Profile Brick 1X2","http://cache.lego.com/media/bricks/5/1/287726.jpg",109
300126,5,"Black","Bricks",3001,"Brick 2X4","http://cache.lego.com/media/bricks/5/1/300126.jpg",453
370026,8,"Black","Bricks And Beams, Special Ø 4,85",3700,"Technic Brick 1X2, Ø4.9","http://cache.lego.com/media/bricks/5/1/370026.jpg",249
370126,4,"Black","Bricks And Beams, Special Ø 4,85",3701,"Technic Brick 1X4, Ø4,9","http://cache.lego.com/media/bricks/5/1/370126.jpg",173
4107558,8,"Black","Bricks And Beams, Special Ø 4,85",32018,"Technic Brick 1X14, Ø4,9","http://cache.lego.com/media/bricks/5/1/4107558.jpg",81
4188143,4,"Black","Bricks And Beams, Special Ø 4,85",32532,"6X8 Brick, Ø 4,85","http://cache.lego.com/media/bricks/5/1/4188143.jpg",30
4144533,2,"Black","Bricks, Special",30540,"Brick 1X2 Fric/Fork Horiz.End","http://cache.lego.com/media/bricks/5/1/4144533.jpg",34
4162235,2,"Black","Bricks, Special",40902,"Brick 2X2 Fric/Fork Vert./End","http://cache.lego.com/media/bricks/5/1/4162235.jpg",24
306226,2,"Black","Bricks, Special Circles And Angles",3062,"Round Brick 1X1","http://cache.lego.com/media/bricks/5/1/306226.jpg",273
4194008,4,"Black","Bricks, Special Circles And Angles",30361,"Round Brick 2X2X2","http://cache.lego.com/media/bricks/5/1/4194008.jpg",14
4216660,2,"Black","Bricks, Special Circles And Angles",30367,"Final Brick 2X2","http://cache.lego.com/media/bricks/5/1/4216660.jpg",64
4500978,2,"Black","Bricks, Special Circles And Angles",6233,"Rocket Step 3X3X2 W. Cross","http://cache.lego.com/media/bricks/4/1/4500978.jpg",19
370526,9,"Black","Connectors",3705,"Cross Axle 4M","http://cache.lego.com/media/bricks/5/1/370526.jpg",758
370626,3,"Black","Connectors",3706,"Cross Axle 6M","http://cache.lego.com/media/bricks/5/1/370626.jpg",633
370726,3,"Black","Connectors",3707,"Cross Axle 8M","http://cache.lego.com/media/bricks/5/1/370726.jpg",425
373726,7,"Black","Connectors",3737,"Cross Axle 10M","http://cache.lego.com/media/bricks/5/1/373726.jpg",372
4107085,1,"Black","Connectors",32013,"Angle Element, 0 Degrees [1]","http://cache.lego.com/media/bricks/5/1/4107085.jpg",284
4107783,2,"Black","Connectors",32034,"Angle Element, 180 Degrees [2]","http://cache.lego.com/media/bricks/5/1/4107783.jpg",179
4121715,50,"Black","Connectors",2780,"Connector Peg W. Friction","http://cache.lego.com/media/bricks/5/1/4121715.jpg",1232
4140801,9,"Black","Connectors",32054,"2M Fric. Snap W/Cross Hole","http://cache.lego.com/media/bricks/5/1/4140801.jpg",255
4159335,2,"Black","Connectors",41532,"Stub W. Friction Bush 3 M","http://cache.lego.com/media/bricks/5/1/4159335.jpg",118
4526982,2,"Black","Connectors",62462,"Tube W/Double Ø4.85","http://cache.lego.com/media/bricks/5/1/4526982.jpg",121
4187209,1,"Black","Fences And Ladders",3633,"Fence 1X4X1","http://cache.lego.com/media/bricks/5/1/4187209.jpg",40
4544645,2,"Black","Fences And Ladders",2486,"Balustrade 1X8X2","http://cache.lego.com/media/bricks/5/1/4544645.jpg",6
396226,1,"Black","Figure Accessories In Hand",3962,"Walkie-Talkie","http://cache.lego.com/media/bricks/5/1/396226.jpg",238
4124096,2,"Black","Functional Elements",6134,"Plate 2X2 (Rocking)","http://cache.lego.com/media/bricks/5/1/4124096.jpg",154
4177431,1,"Black","Functional Elements, Gear Wheels And Racks",32270,"Double Conical Wheel Z12 1M","http://cache.lego.com/media/bricks/5/1/4177431.jpg",159
4205760,2,"Black","Functional Elements, Gear Wheels And Racks",3743,"Toothed Bar M=1, Z=10","http://cache.lego.com/media/bricks/5/1/4205760.jpg",26
4248204,2,"Black","Functional Elements, Gear Wheels And Racks",32072,"Technic Angular Wheel","http://cache.lego.com/media/bricks/5/1/4248204.jpg",40
4500902,1,"Black","Functional Elements, Gear Wheels And Racks",6585,"Conical Wheel Block 4X4","http://cache.lego.com/media/bricks/5/1/4500902.jpg",21
4563044,2,"Black","Half Beams, Special",33299,"2X1X3 Steering Knuckle Arm","http://cache.lego.com/media/bricks/5/1/4563044.jpg",53
4297719,2,"Black","Loose Parts",56823,"String Poly 0,5Mm On Spool","http://cache.lego.com/media/bricks/5/1/4297719.jpg",125
303226,1,"Black","Plates",3032,"Plate 4X6","http://cache.lego.com/media/bricks/5/1/303226.jpg",213
255526,2,"Black","Plates, Special",2555,"Plate 1X1 W. Up Right Holder","http://cache.lego.com/media/bricks/5/1/255526.jpg",271
370926,8,"Black","Plates, Special",3709,"Plate 2X4, 3Xø4.9","http://cache.lego.com/media/bricks/5/1/370926.jpg",120
373826,15,"Black","Plates, Special",3738,"Plate 2X8 W. Holes","http://cache.lego.com/media/bricks/5/1/373826.jpg",74
4140588,9,"Black","Plates, Special",2540,"Plate 1X2 W. Stick","http://cache.lego.com/media/bricks/5/1/4140588.jpg",254
4144024,8,"Black","Plates, Special",32530,"T-Beam W. Plate 1X2 W. Tube","http://cache.lego.com/media/bricks/5/1/4144024.jpg",89
4183060,1,"Black","Plates, Special",44302,"Plate 1X2 W/Fork/Vertical/End","http://cache.lego.com/media/bricks/5/1/4183060.jpg",91
4517925,4,"Black","Plates, Special",61252,"Plate 1X1 W/Holder Vertical","http://cache.lego.com/media/bricks/5/1/4517925.jpg",129
4539442,2,"Black","Plates, Special",64566,"Plate Hexagonal W Stand. Ø 48","http://cache.lego.com/media/bricks/5/1/4539442.jpg",9
403226,7,"Black","Plates, Special Circles And Angles",4032,"Plate 2X2 Round","http://cache.lego.com/media/bricks/5/1/403226.jpg",302
415026,2,"Black","Plates, Special Circles And Angles",4150,"Flat Tile 2X2, Round","http://cache.lego.com/media/bricks/5/1/415026.jpg",120
474026,4,"Black","Plates, Special Circles And Angles",4740,"Parabola Ø16","http://cache.lego.com/media/bricks/5/1/474026.jpg",104
71155,1,"Black","Rubbers And Strings",71155,"Net 10X10","http://cache.lego.com/media/bricks/5/1/71155.jpg",36
4295395,1,"Black","Transportation Means, Aviation",43121,"Jet Engine 4X5X3","http://cache.lego.com/media/bricks/5/1/4295395.jpg",10
4153044,5,"Black","Transportation Means, Vehicles",30663,"Stee.Wheel Ø16 F/Console 2X2","http://cache.lego.com/media/bricks/5/1/4153044.jpg",100
4140670,2,"Black","Tyres And Rims For/To Snap Ø4,85 W. Cross",30391,"Tyre Normal Wide Ø30,4 X 14","http://cache.lego.com/media/bricks/5/1/4140670.jpg",93
4164067,2,"Black","Various Parts",30359,"Brick W. Shaft 1X8X1","http://cache.lego.com/media/bricks/5/1/4164067.jpg",31
4538781,8,"Black","Various Parts",64711,"Wheel W.Studs Ø62","http://cache.lego.com/media/bricks/5/1/4538781.jpg",7
4538782,8,"Black","Various Parts",64712,"Rim W. Studs Ø62","http://cache.lego.com/media/bricks/5/1/4538782.jpg",16
4186017,5,"Brick Yellow","Connectors",6562,"Connector Peg/Cross Axle","http://cache.lego.com/media/bricks/5/1/4186017.jpg",300
4565452,3,"Brick Yellow","Functional Elements, Gear Wheels And Racks",6589,"Conical Wheel Z12","http://cache.lego.com/media/bricks/5/1/4565452.jpg",80
4143005,6,"Bright Blue","Connectors",4274,"Connector Peg W. Knob","http://cache.lego.com/media/bricks/5/1/4143005.jpg",355
4206482,5,"Bright Blue","Connectors",43093,"Conn.Bush W.Fric./Crossale","http://cache.lego.com/media/bricks/5/1/4206482.jpg",826
4514553,4,"Bright Blue","Connectors",6558,"Connector Peg W. Friction 3M","http://cache.lego.com/media/bricks/5/1/4514553.jpg",322
4540418,3,"Bright Blue","Figure, Head Clothing",30325,"Helmet With Light","http://cache.lego.com/media/bricks/5/1/4540418.jpg",13
4542552,3,"Bright Blue","Mini Figure",85107,"Mini Lower Part No. "122"","http://cache.lego.com/media/bricks/5/1/4542552.jpg",14
4141089,1,"Bright Orange","Bricks, Special Circles And Angles",6143,"Brick Ø16 W. Cross","http://cache.lego.com/media/bricks/5/1/4141089.jpg",24
4532970,4,"Bright Orange","Bricks, Special Circles And Angles",30367,"Final Brick 2X2","http://cache.lego.com/media/bricks/5/1/4532970.jpg",6
4125254,2,"Bright Orange","Plates",2412,"Radiator Grille 1X2","http://cache.lego.com/media/bricks/5/1/4125254.jpg",80
4525190,2,"Bright Orange","Transportation Means, Aviation",4868,"Jet Engine","http://cache.lego.com/media/bricks/5/1/4525190.jpg",6
4561469,2,"Bright Orange","Tubes",57539,"Flex Hose 19M W/3. 18 Stick","http://cache.lego.com/media/bricks/5/1/4561469.jpg",12
4540299,1,"Bright Orange","Various Parts",64711,"Wheel W.Studs Ø62","http://cache.lego.com/media/bricks/5/1/4540299.jpg",3
4142865,5,"Bright Red","Connectors",32062,"2M Cross Axle W. Groove","http://cache.lego.com/media/bricks/5/1/4142865.jpg",617
4538780,2,"Bright Red","Figure, Weapons",64728,"Dynamit Ø3.2 Mm","http://cache.lego.com/media/bricks/5/1/4538780.jpg",44
4220515,2,"Bright Red","Modelling Elements",47457,"Plates W. Bows 2X2","http://cache.lego.com/media/bricks/5/1/4220515.jpg",47
4239601,6,"Bright Yellow","Connectors",32123,"1/2 Bush","http://cache.lego.com/media/bricks/5/1/4239601.jpg",200
4114584,1,"Bright Yellow","Food Stuff",33085,"Banana","http://cache.lego.com/media/bricks/5/1/4114584.jpg",41
4542167,1,"Bright Yellow","Mini Figure Head",64883,"Mini Head No "563"","http://cache.lego.com/media/bricks/5/1/4542167.jpg",5
4542172,1,"Bright Yellow","Mini Figure Head",64877,"Mini Head No "557"","http://cache.lego.com/media/bricks/5/1/4542172.jpg",4
4542175,1,"Bright Yellow","Mini Figure Head",64882,"Mini Head No "562"","http://cache.lego.com/media/bricks/5/1/4542175.jpg",4
4263118,2,"Bright Yellowish Green","Beams",32526,"Technic Ang. Beam 3X5 90 Deg.","http://cache.lego.com/media/bricks/5/1/4263118.jpg",9
4265696,1,"Bright Yellowish Green","Beams",32348,"Technic Angular Beam 4X4","http://cache.lego.com/media/bricks/5/1/4265696.jpg",5
4537926,14,"Bright Yellowish Green","Bricks With Slope",60481,"Roof Tile 2X1X2","http://cache.lego.com/media/bricks/5/1/4537926.jpg",3
4212454,3,"Bright Yellowish Green","Bricks, Special Circles And Angles",3062,"Round Brick 1X1","http://cache.lego.com/media/bricks/5/1/4212454.jpg",32
4279734,2,"Bright Yellowish Green","Bricks, Special Circles And Angles",30367,"Final Brick 2X2","http://cache.lego.com/media/bricks/5/1/4279734.jpg",29
4527943,5,"Bright Yellowish Green","Bricks, Special Circles And Angles",6143,"Brick Ø16 W. Cross","http://cache.lego.com/media/bricks/5/1/4527943.jpg",27
4540198,8,"Bright Yellowish Green","Crains And Scaffold",58827,"Lattice Tower 2X2X10 W/Cross","http://cache.lego.com/media/bricks/5/1/4540198.jpg",2
4540206,1,"Bright Yellowish Green","Crains And Scaffold",57779,"Telescopic Arm 2X1 1/3X16","http://cache.lego.com/media/bricks/5/1/4540206.jpg",1
4540385,7,"Bright Yellowish Green","Modelling Elements",61409,"Roof Tile W. Lattice 1X2X2/3","http://cache.lego.com/media/bricks/5/1/4540385.jpg",41
4164021,3,"Bright Yellowish Green","Plates",2431,"Flat Tile 1X4","http://cache.lego.com/media/bricks/5/1/4164021.jpg",56
4164037,13,"Bright Yellowish Green","Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/4164037.jpg",89
4504850,1,"Bright Yellowish Green","Plates",3031,"Plate 4X4","http://cache.lego.com/media/bricks/5/1/4504850.jpg",30
4512690,3,"Bright Yellowish Green","Plates",6180,"Plate 4X6 W. 12 Knobs","http://cache.lego.com/media/bricks/5/1/4512690.jpg",3
4529160,4,"Bright Yellowish Green","Plates",3666,"Plate 1X6","http://cache.lego.com/media/bricks/5/1/4529160.jpg",31
4183133,5,"Bright Yellowish Green","Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/4183133.jpg",124
